student_name,branch,sem1_sub1_mark,sem1_sub2_mark,sem1_sub3_mark,sem1_sub4_mark,sem2_sub1_mark,sem2_sub2_mark,sem2_sub3_mark,sem2_sub4_mark,sem3_sub1_mark,sem3_sub2_mark,sem3_sub3_mark,sem3_sub4_mark,sem4_sub1_mark,sem4_sub2_mark,sem4_sub3_mark,sem4_sub4_mark,club_hours
Divyansh Bansal,MECH,22,38,45,25,6,28,25,40,34,13,39,3,5,41,16,16,43
Atharva Singh,ECE,87,93,84,55,99,63,83,95,96,92,62,68,92,72,60,75,98
Mayank Kapoor,EEE,61,76,99,53,70,85,79,51,60,89,51,73,56,62,89,80,86
Aarush Deshmukh,CIVIL,95,79,99,77,59,91,59,63,100,74,69,83,89,86,61,87,92
Aniket Mehra,EEE,95,89,70,66,90,87,80,81,99,87,72,83,99,91,65,73,86
Aniket Singh,MECH,53,80,71,71,78,65,71,79,72,55,83,79,92,80,96,85,92
Harsh Agarwal,ECE,74,91,92,66,97,83,88,66,100,59,63,88,93,97,66,95,92
Karan Chopra,ECE,0,46,35,30,47,20,47,26,8,35,44,23,35,37,0,3,77
Yash Agarwal,CSE,81,95,74,58,83,64,55,70,100,90,98,57,100,68,91,96,92
Harsh Deshmukh,EEE,95,86,66,56,83,76,68,83,100,55,89,61,80,82,56,50,85
Aman Deshmukh,AIDS,90,53,79,61,78,79,90,61,76,67,51,96,66,51,65,73,90
Rahul Patel,AIDS,62,50,50,73,83,60,80,76,82,71,59,92,88,74,88,90,83
Utkarsh Deshmukh,MECH,70,69,77,71,91,88,76,77,54,66,77,61,79,77,71,80,80
Tanish Agarwal,CSE,99,64,89,74,100,95,80,92,64,83,95,77,100,82,51,96,91
Arjun Verma,EEE,13,44,4,16,10,39,43,48,39,22,40,12,8,34,31,38,17
Utkarsh Gupta,MECH,54,62,100,73,59,56,98,62,75,81,80,64,91,58,55,67,88
Manav Kapoor,CSE,53,88,98,78,100,59,78,58,52,70,88,56,72,76,87,82,100
Utkarsh Deshmukh,MECH,72,62,58,97,84,62,91,98,74,69,55,51,61,96,55,72,88
Aarav Agarwal,EEE,77,57,81,73,51,63,79,54,57,63,88,98,64,89,86,81,84
Pranav Varma,AIDS,93,70,53,70,56,52,93,72,62,100,85,89,63,86,68,54,89
Siddharth Singh,ECE,81,89,75,59,79,75,93,86,85,94,85,80,97,91,97,79,88
Raj Tiwari,CIVIL,2,39,18,23,40,45,11,6,13,3,15,28,30,30,19,45,69
Tanish Bansal,CIVIL,91,85,56,90,90,96,76,60,88,51,62,80,83,63,90,50,81
Advait Bansal,ECE,72,75,84,63,98,76,56,53,62,64,86,75,96,92,100,75,92
Harsh Tiwari,MECH,72,77,87,74,55,98,100,94,83,94,66,72,51,71,63,52,100
Anish Varma,EEE,54,59,60,68,81,81,67,91,53,52,68,68,75,81,95,62,99
Nikhil Agarwal,CSE,90,54,95,84,82,76,74,57,92,54,96,67,90,67,70,74,87
Shreyas Agarwal,CSE,97,60,59,54,53,54,63,50,62,53,72,78,60,95,79,58,83
Dhruv Gupta,ECE,0,36,11,42,43,49,30,38,37,3,44,13,2,32,8,40,33
Aniket Reddy,AIDS,87,89,72,80,79,59,54,68,65,93,65,92,100,89,65,83,88
Surya Yadav,ECE,69,65,80,90,86,51,79,75,91,99,65,76,55,88,98,65,80
Raj Singh,CSE,67,100,86,58,57,78,76,89,81,80,77,79,82,51,75,53,94
Vedant Deshmukh,CIVIL,97,72,92,88,74,86,84,99,73,63,71,91,92,52,55,71,94
Anish Verma,ECE,55,86,63,90,66,60,80,73,57,99,96,61,87,82,52,74,99
Abhinav Kapoor,CSE,91,57,92,75,90,74,99,55,61,98,54,59,50,65,60,73,88
Aarush Deshmukh,MECH,3,21,46,4,43,11,9,39,0,35,47,4,9,39,2,15,72
Dhruv Saxena,AIDS,82,60,96,54,51,64,55,95,53,85,50,79,98,60,55,50,91
Mayank Chopra,MECH,79,63,100,89,87,65,52,52,74,84,83,57,80,77,84,99,98
Karan Jha,AIDS,56,64,52,99,80,69,72,81,73,63,78,78,66,61,60,96,99
Aryan Sinha,EEE,56,62,75,66,59,64,93,80,50,57,50,55,55,67,54,89,88
Siddharth Reddy,AIDS,91,62,59,79,68,53,62,85,78,50,51,59,67,63,55,83,89
Sahil Varma,CSE,69,65,68,95,86,83,60,57,55,88,69,53,52,89,75,94,95
